id,points,total_points,event_transfers,points_on_bench,entry,event
197241,40,40,0,0,203388,1
590451,43,83,0,0,203388,2
1049196,19,102,0,0,203388,3
1507907,56,158,0,0,203388,4
2032154,29,187,0,0,203388,5
2556387,20,207,0,0,203388,6
3080646,36,243,0,0,203388,7
3604829,52,295,0,0,203388,8
4129034,39,334,0,0,203388,9
4652926,33,367,0,0,203388,10
5177109,40,407,0,0,203388,11
5694442,32,439,0,0,203388,12
6218555,43,482,0,0,203388,13
6742719,45,527,0,0,203388,14
7266889,51,578,0,0,203388,15
7856641,57,635,0,0,203388,16
8446308,61,696,0,0,203388,17
9035846,45,741,0,0,203388,18
9624062,52,793,0,0,203388,19
10211364,52,845,0,0,203388,20
10800678,40,885,0,0,203388,21
