id,points,total_points,event_transfers,points_on_bench,entry,event
82868,54,54,0,0,178431,1
476078,59,113,0,0,178431,2
934823,38,151,0,0,178431,3
1393568,53,204,0,0,178431,4
1852313,73,277,0,0,178431,5
2311058,24,301,0,0,178431,6
2769803,55,356,0,0,178431,7
3216936,44,400,0,0,178431,8
3675681,49,449,0,0,178431,9
4134426,24,473,0,0,178431,10
4593171,41,514,0,0,178431,11
5051916,56,570,0,0,178431,12
5510661,46,616,0,0,178431,13
5969406,28,644,0,0,178431,14
6428151,24,668,0,0,178431,15
6952431,60,728,0,0,178431,16
7476711,49,777,0,0,178431,17
