id,points,total_points,event_transfers,points_on_bench,entry,event
197235,47,47,0,0,167707,1
590445,40,87,0,0,167707,2
1049190,23,110,0,0,167707,3
1507901,49,159,0,0,167707,4
2032148,35,194,0,0,167707,5
2556381,25,219,0,0,167707,6
3080640,63,282,0,0,167707,7
3604823,27,309,0,0,167707,8
4129028,28,337,0,0,167707,9
4652920,48,385,0,0,167707,10
5177103,38,423,0,0,167707,11
5694436,41,464,0,0,167707,12
6218549,38,502,0,0,167707,13
6742713,59,561,0,0,167707,14
7266883,44,605,0,0,167707,15
7856635,37,642,0,0,167707,16
8446302,44,686,0,0,167707,17
9035840,23,709,0,0,167707,18
9624056,40,749,0,0,167707,19
10211358,57,806,0,0,167707,20
10800672,39,845,0,0,167707,21
