id,points,total_points,event_transfers,points_on_bench,entry,event
197240,54,54,0,0,167853,1
590450,42,96,0,0,167853,2
1049195,45,141,0,0,167853,3
1507906,39,180,0,0,167853,4
2032153,45,225,0,0,167853,5
2556386,14,239,0,0,167853,6
3080645,27,266,0,0,167853,7
3604828,33,299,0,0,167853,8
4129033,44,343,0,0,167853,9
4652925,37,380,0,0,167853,10
5177108,53,433,0,0,167853,11
5694441,38,471,0,0,167853,12
6218554,31,502,0,0,167853,13
6742718,29,531,0,0,167853,14
7266888,62,593,0,0,167853,15
7856640,54,647,0,0,167853,16
8446307,43,690,0,0,167853,17
9035845,41,731,0,0,167853,18
9624061,36,767,0,0,167853,19
10211363,36,803,0,0,167853,20
10800677,36,839,0,0,167853,21
