team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulli XI,w,28,29,Darwin,0,Strand Larsen,13,-13
dazzoomzzoom,f,28,29,Mac Allister,0,Georginio,5,-5
Masala Pan,w,28,29,Gusto,0,Wan-Bissaka,2,-2
Masala Pan,w,28,29,Diogo J.,0,Minteh,2,-2
Tension nae leni FC,w,28,29,Szoboszlai,0,Damsgaard,2,-2
Cant win fc,f,28,29,Tsimikas,0,Branthwaite,2,-2
Tension nae leni FC,w,28,29,Scarles,0,Aït-Nouri,2,-2
Premier XI,w,28,29,Khusanov,-1,Dalot,0,-1
Tension nae leni FC,w,28,29,Rogers,0,De Bruyne,1,-1
Cant win fc,w,28,29,Nketiah,0,Zirkzee,0,0
Cant win fc,f,28,29,Branthwaite,2,Kilman,2,0
Masala Pan,w,28,29,Burn,0,De Ligt,0,0
Tension nae leni FC,w,28,29,Spence,0,Digne,0,0
Masala Pan,w,28,29,Vicario,0,Leno,0,0
Lulli XI,w,28,29,Nkunku,0,Enzo,0,0
dazzoomzzoom,w,28,29,Tosin,0,James,0,0
Tension nae leni FC,f,28,29,Muniz,0,Obi,0,0
Dragon riders,f,28,29,Calafiori,0,Hall,0,0
Cant win fc,w,28,29,N.Williams,1,Dorgu,0,1
dazzoomzzoom,w,28,29,Welbeck,1,Højlund,0,1
dazzoomzzoom,f,28,29,Hudson-Odoi,3,Kudus,2,1
Lulli XI,w,28,29,Rúben,1,Robinson,0,1
Masala Pan,f,28,29,Mykolenko,2,Lamptey,0,2
Tension nae leni FC,f,28,29,Areola,3,Arrizabalaga,1,2
dazzoomzzoom,w,28,29,Milenković,11,Mazraoui,0,11
Cant win fc,w,28,29,Elanga,16,Tel,0,16
