team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Cant win fc,w,31,32,Martinelli,2,Neto,3,-1
Tension nae leni FC,f,31,32,Digne,0,Lewis,1,-1
Cant win fc,w,31,32,Wilson,1,Raúl,1,0
dazzoomzzoom,w,31,32,N.Semedo,1,Estupiñan,0,1
Masala Pan,w,31,32,M.Asensio,2,Tavernier,1,1
Tension nae leni FC,f,31,32,Enzo,2,Souček,0,2
Cant win fc,w,31,32,Kiwior,2,James,0,2
dazzoomzzoom,w,31,32,Barnes,15,De Bruyne,12,3
dazzoomzzoom,w,31,32,Strand Larsen,6,Darwin,0,6
dazzoomzzoom,w,31,32,Huijsen,7,Zabarnyi,1,6
dazzoomzzoom,w,31,32,Aït-Nouri,14,Gabriel,0,14
